block,node0,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12,node13,node14,node15,node16,node17,node18,node19,node20,node21
24,270.0649,115.1096,125.2292,112.5798,117.0071,134.7162,136.6136,153.0579,132.8188,134.7162,139.1435,139.1435,137.8786,129.0240,149.8955,132.8188,148.6306,129.6565,133.4513,158.7501,141.0409,117.6395
25,270.0649,245.3986,125.2292,112.5798,117.0071,134.7162,136.6136,153.0579,132.8188,134.7162,139.1435,139.1435,137.8786,129.0240,149.8955,132.8188,148.6306,129.6565,133.4513,158.7501,141.0409,117.6395
26,270.0649,245.3986,277.6546,112.5798,117.0071,134.7162,136.6136,153.0579,132.8188,134.7162,139.1435,139.1435,137.8786,129.0240,149.8955,132.8188,148.6306,129.6565,133.4513,158.7501,141.0409,117.6395
27,270.0649,245.3986,277.6546,254.2532,117.0071,134.7162,136.6136,153.0579,132.8188,134.7162,139.1435,139.1435,137.8786,129.0240,149.8955,132.8188,148.6306,129.6565,133.4513,158.7501,141.0409,117.6395
28,270.0649,245.3986,277.6546,254.2532,234.6466,134.7162,136.6136,153.0579,132.8188,134.7162,139.1435,139.1435,137.8786,129.0240,149.8955,132.8188,148.6306,129.6565,133.4513,158.7501,141.0409,117.6395
29,270.0649,245.3986,277.6546,254.2532,234.6466,281.4494,136.6136,153.0579,132.8188,134.7162,139.1435,139.1435,137.8786,129.0240,149.8955,132.8188,148.6306,129.6565,133.4513,158.7501,141.0409,117.6395
30,270.0649,245.3986,277.6546,254.2532,234.6466,281.4494,273.8598,153.0579,132.8188,134.7162,139.1435,139.1435,137.8786,129.0240,149.8955,132.8188,148.6306,129.6565,133.4513,158.7501,141.0409,117.6395
31,270.0649,245.3986,277.6546,254.2532,234.6466,281.4494,273.8598,292.2014,132.8188,134.7162,139.1435,139.1435,137.8786,129.0240,149.8955,132.8188,148.6306,129.6565,133.4513,158.7501,141.0409,117.6395
32,270.0649,245.3986,277.6546,254.2532,234.6466,281.4494,273.8598,292.2014,266.2701,134.7162,139.1435,139.1435,137.8786,129.0240,149.8955,132.8188,148.6306,129.6565,133.4513,158.7501,141.0409,117.6395
33,270.0649,245.3986,277.6546,254.2532,234.6466,281.4494,273.8598,292.2014,266.2701,281.4494,139.1435,139.1435,137.8786,129.0240,149.8955,132.8188,148.6306,129.6565,133.4513,158.7501,141.0409,117.6395
34,270.0649,245.3986,277.6546,254.2532,234.6466,281.4494,273.8598,292.2014,266.2701,281.4494,280.1845,139.1435,137.8786,129.0240,149.8955,132.8188,148.6306,129.6565,133.4513,158.7501,141.0409,117.6395
35,270.0649,245.3986,277.6546,254.2532,234.6466,281.4494,273.8598,292.2014,266.2701,281.4494,280.1845,278.2871,137.8786,129.0240,149.8955,132.8188,148.6306,129.6565,133.4513,158.7501,141.0409,117.6395
36,270.0649,245.3986,277.6546,254.2532,234.6466,281.4494,273.8598,292.2014,266.2701,281.4494,280.1845,278.2871,275.1247,129.0240,149.8955,132.8188,148.6306,129.6565,133.4513,158.7501,141.0409,117.6395
37,270.0649,245.3986,277.6546,254.2532,234.6466,281.4494,273.8598,292.2014,266.2701,281.4494,280.1845,278.2871,275.1247,273.8598,149.8955,132.8188,148.6306,129.6565,133.4513,158.7501,141.0409,117.6395
38,270.0649,245.3986,277.6546,254.2532,234.6466,281.4494,273.8598,292.2014,266.2701,281.4494,280.1845,278.2871,275.1247,273.8598,283.9793,132.8188,148.6306,129.6565,133.4513,158.7501,141.0409,117.6395
