block,node0,node1,node2,node3,node4,node5,node6,node7,node8,node9,node10,node11,node12,node13,node14,node15,node16,node17,node18,node19,node20,node21
27,123.3318,128.3915,239.7064,0.0000,251.0908,0.0000,164.4424,125.8616,421.2254,242.8687,132.1864,270.6974,129.0240,134.0838,130.9214,0.0000,135.9812,0.0000,106.2551,364.9355,124.5967,124.5967
28,123.3318,128.3915,369.3628,0.0000,251.0908,0.0000,164.4424,125.8616,421.2254,242.8687,132.1864,270.6974,129.0240,134.0838,130.9214,0.0000,135.9812,0.0000,106.2551,364.9355,124.5967,124.5967
29,123.3318,128.3915,369.3628,0.0000,251.0908,0.0000,164.4424,125.8616,421.2254,242.8687,132.1864,270.6974,262.4753,134.0838,130.9214,0.0000,135.9812,0.0000,106.2551,364.9355,124.5967,124.5967
30,123.3318,128.3915,501.5492,0.0000,251.0908,0.0000,164.4424,125.8616,421.2254,242.8687,132.1864,270.6974,262.4753,134.0838,130.9214,0.0000,135.9812,0.0000,106.2551,364.9355,124.5967,124.5967
31,259.9454,128.3915,501.5492,0.0000,251.0908,0.0000,164.4424,125.8616,421.2254,242.8687,132.1864,270.6974,262.4753,134.0838,130.9214,0.0000,135.9812,0.0000,106.2551,364.9355,124.5967,124.5967
32,259.9454,128.3915,501.5492,0.0000,251.0908,0.0000,164.4424,254.8856,421.2254,242.8687,132.1864,270.6974,262.4753,134.0838,130.9214,0.0000,135.9812,0.0000,106.2551,364.9355,124.5967,124.5967
33,259.9454,128.3915,501.5492,0.0000,251.0908,0.0000,164.4424,254.8856,421.2254,242.8687,132.1864,270.6974,395.2941,134.0838,130.9214,0.0000,135.9812,0.0000,106.2551,364.9355,124.5967,124.5967
34,259.9454,128.3915,501.5492,136.6136,251.0908,0.0000,164.4424,254.8856,421.2254,242.8687,132.1864,270.6974,395.2941,134.0838,130.9214,0.0000,135.9812,0.0000,106.2551,364.9355,124.5967,124.5967
35,259.9454,128.3915,501.5492,136.6136,251.0908,0.0000,164.4424,254.8856,421.2254,242.8687,132.1864,270.6974,395.2941,134.0838,130.9214,0.0000,135.9812,129.0240,106.2551,364.9355,124.5967,124.5967
36,259.9454,128.3915,501.5492,136.6136,251.0908,0.0000,164.4424,254.8856,421.2254,242.8687,132.1864,270.6974,395.2941,134.0838,130.9214,0.0000,135.9812,129.0240,106.2551,364.9355,124.5967,257.4155
